record_type,timestamp_utc,sim_id,launch_date_utc,perigee_alt_km,apogee_alt_km,inclination_deg,latitude_deg,longitude_deg,altitude_km,speed_km_s,raan_deg,arg_perigee_deg,mean_anomaly_deg,orbital_phase_0_1,lat_sin,lat_cos,lon_sin,lon_cos,altitude_norm_0_1,position_seed_u64,position_entropy_feature_0_1,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km
FORWARD_SIM,2026-09-15T04:15:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-26.325189405603,34.991488512338,709.238511755354,7.497332537126,89.435005062311,127.17319599585,206.4669567012,0.57351932417,-0.443465277552,0.896291552792,0.573454742133,0.819237242028,1,17998883099129625324,0.975721407919,-343.417695351695,6346.837482859725,-3125.921263035731,5207.171526570956,3644.948070985723,-3125.921263035731
FORWARD_SIM,2026-09-15T04:16:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-22.713054031875,34.176807840422,707.955575783752,7.497619372251,89.435624975497,127.170989023506,210.111709581264,0.583643637726,-0.386116219544,0.922450142287,0.561748546515,0.827308026365,1,1829932375438022432,0.099200832848,-289.031564386646,6533.11488705812,-2720.790633668631,5410.185210749719,3673.557588781921,-2720.790633668631
FORWARD_SIM,2026-09-15T04:17:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-19.096786932103,33.390879715509,706.759403885317,7.497939545602,89.436244888684,127.168782051162,213.756462461328,0.593767951281,-0.327164907039,0.944967260598,0.550347842869,0.834935477656,1,10636517846610368550,0.576606787849,-233.485241026719,6693.084388681122,-2304.703296485855,5591.692863505752,3685.765173203943,-2304.703296485855
FORWARD_SIM,2026-09-15T04:18:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-15.47700764271,32.627622908076,705.665743972021,7.498291774531,89.43686480187,127.166575078818,217.401215341391,0.603892264837,-0.266851657054,0.963737616329,0.539176877688,0.842192551954,0.981430220668,5452495615937475557,0.295580379613,-177.001715941348,6826.098359395532,-1879.333664411337,5750.821569598907,3681.711516974749,-1879.333664411337
FORWARD_SIM,2026-09-15T04:19:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-11.854310919353,31.881799309483,704.68833471544,7.498674647402,89.437484715057,127.164368106474,221.045968221455,0.614016578393,-0.205423832499,0.978673106324,0.528168622041,0.849139509557,0.927129706413,14514329220533637023,0.786823363654,-119.807790150562,6931.617227403678,-1446.393871687337,5886.789181019856,3661.609541178277,-1446.393871687337
FORWARD_SIM,2026-09-15T04:20:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-8.229277211549,31.148784268797,703.838691718422,7.49908662909,89.438104628244,127.16216113413,224.690721101519,0.624140891949,-0.143134674621,0.989703220628,0.517262206827,0.855826973978,0.87992731769,3530218158538737307,0.191373509842,-62.133174279641,7009.211691983273,-1007.626961075381,5998.908113744134,3625.742753869321,-1007.626961075381
FORWARD_SIM,2026-09-15T04:21:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-4.602479553307,30.424384491222,703.125931305398,7.499526066972,89.43872454143,127.159954161786,228.335473981582,0.634265205504,-0.080242061224,0.996775406805,0.50640079518,0.862298228365,0.840329516967,1269852664370297516,0.068838850872,-4.209575308788,7058.564505607037,-564.799941052413,6086.588750384346,3574.463314126266,-564.799941052413
FORWARD_SIM,2026-09-15T04:22:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-0.974488008674,29.704687450352,702.556635213748,7.499991197385,89.439344454617,127.157747189442,231.980226861646,0.64438951906,-0.017007204291,0.999855367042,0.495529730771,0.868590977343,0.808701956319,6276472128426162410,0.340248235859,53.730225701781,7079.471815689385,-119.696739451147,6149.342442229363,3508.189797387099,-119.696739451147
FORWARD_SIM,2026-09-15T04:23:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,2.654127447937,28.985930453791,702.134758731641,7.500480152538,89.439964367803,127.155540217098,235.62497974171,0.654513832616,0.046306697424,0.998927269512,0.484594834099,0.874738730573,0.78526437398,155620081790169504,0.008436181538,111.453301379136,7071.84405958865,325.888919482682,6186.784096011364,3427.404672761655,325.888919482682
FORWARD_SIM,2026-09-15T04:24:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,6.28279488831,28.264379909694,701.861584021208,7.500990967845,89.44058428099,127.153333244754,239.269732621773,0.664638146172,0.109435833741,0.993993862302,0.473540735388,0.880771918222,0.770088001178,16536713691542676513,0.896457045507,168.727507724434,7035.706408114742,770.160687204749,6198.634331293005,3332.651505928196,770.160687204749
